DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
9-Feb-93,188,Niclas Füllkrug,11/16/2022,Wed,Friendlies (M),Friendlies (M),Neutral,W 1–0,de Germany,om Oman,N,,45,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9-Feb-93,188,Niclas Füllkrug,11/23/2022,Wed,World Cup,Group stage,Neutral,L 1–2,de Germany,jp Japan,N,FW,12,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,3,5,60,0,1,0,0,0,Match Report
9-Feb-93,188,Niclas Füllkrug,11/27/2022,Sun,World Cup,Group stage,Neutral,D 1–1,de Germany,es Spain,N,FW,21,1,0,0,0,3,1,0,0,12,0,0,0,0.6,0.6,0,2,0,5,7,71.4,1,6,0,1,1,Match Report
9-Feb-93,188,Niclas Füllkrug,12/1/2022,Thu,World Cup,Group stage,Neutral,W 4–2,de Germany,cr Costa Rica,N,FW,36,1,1,0,0,4,2,0,0,19,0,0,0,1.6,1.6,0.6,2,1,7,12,58.3,0,11,1,0,0,Match Report
9-Feb-93,188,Niclas Füllkrug,3/25/2023,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,de Germany,pe Peru,Y,FW,74,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9-Feb-93,188,Niclas Füllkrug,3/28/2023,Tue,Friendlies (M),Friendlies (M),Home,L 2–3,de Germany,be Belgium,Y,FW,79,1,0,1,1,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9-Feb-93,188,Niclas Füllkrug,6/12/2023,Mon,Friendlies (M),Friendlies (M),Home,D 3–3,de Germany,ua Ukraine,Y,FW,45,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9-Feb-93,188,Niclas Füllkrug,6/16/2023,Fri,Friendlies (M),Friendlies (M),Away,L 0–1,de Germany,pl Poland,N,,23,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9-Feb-93,188,Niclas Füllkrug,6/20/2023,Tue,Friendlies (M),Friendlies (M),Home,L 0–2,de Germany,co Colombia,N,,25,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
9-Feb-93,188,Niclas Füllkrug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Feb-93,188,Niclas Füllkrug,10/14/2023,Sat,Friendlies (M),Friendlies (M),Away,W 3–1,de Germany,us United States,Y,FW,80,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9-Feb-93,188,Niclas Füllkrug,10/17/2023,Tue,Friendlies (M),Friendlies (M),Neutral,D 2–2,de Germany,mx Mexico,N,,45,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9-Feb-93,188,Niclas Füllkrug,11/18/2023,Sat,Friendlies (M),Friendlies (M),Home,L 2–3,de Germany,tr Türkiye,Y,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9-Feb-93,188,Niclas Füllkrug,11/21/2023,Tue,Friendlies (M),Friendlies (M),Away,L 0–2,de Germany,at Austria,Y,FW,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9-Feb-93,188,Niclas Füllkrug,3/23/2024,Sat,Friendlies (M),Friendlies (M),Away,W 2–0,de Germany,fr France,N,,11,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9-Feb-93,188,Niclas Füllkrug,3/26/2024,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,de Germany,nl Netherlands,N,,18,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
