Name,,Position,Age,Ht,Wt(Kg),Country
David Duris,21,Forward,25,"6'1""",-,Slovakia
Tomas Nemcik,25,Defender,23,"6'2""",-,Slovakia
Adam Obert,4,Defender,21,"6'2""",-,Slovakia
Tomas Suslov,7,Midfielder,22,-,-,Slovakia
Henrich Ravas,23,Goalkeeper,27,"6'3""",83,Slovakia
Tomas Rigo,18,Midfielder,22,"6'0""",-,Slovakia
Sebastian Kosa,2,Defender,20,"6'2""",80,Slovakia
Dominik Holly,26,Midfielder,20,"5'9""",73,Slovakia
Leo Sauer,24,Forward,18,"5'10""",-,Slovakia
Jasmin Kurtic,14,Midfielder,35,"6'1""",88,Slovenia
Jan Oblak,1,Goalkeeper,31,"6'2""",87,Slovenia
Miha Blazic,4,Defender,31,"6'0""",78,Slovenia
Vid Belec,12,Goalkeeper,34,"6'3""",84,Slovenia
Erik Janza,13,Defender,31,"5'8""",75,Slovenia
Benjamin Verbic,7,Midfielder,30,"5'10""",78,Slovenia
Andraz Sporar,9,Forward,30,"6'1""",80,Slovenia
Jure Balkovec,3,Defender,29,"6'0""",73,Slovenia
Petar Stojanovic,20,Defender,28,"5'10""",72,Slovenia
Jon Gorenc-Stankovic,5,Midfielder,28,"6'2""",78,Slovenia
Sandi Lovric,8,Midfielder,26,"5'10""",70,Slovenia
Timi Elsnik,10,Forward,26,"5'11""",65,Slovenia
Jan Mlakar,17,Forward,25,"6'0""",78,Slovenia
Igor Vekic,16,Goalkeeper,26,"6'3""",86,Slovenia
Vanja Drkusic,21,Defender,24,"6'1""",82,Slovenia
Tomi Horvat,15,Midfielder,25,"5'8""",69,Slovenia
Adam Gnezda Cerin,22,Midfielder,25,"5'8""",-,Slovenia
Zan Celar,19,Forward,25,"6'1""",82,Slovenia
David Brekalo,23,Defender,25,"6'1""",88,Slovenia
Nino Zugelj,24,Forward,24,"6'0""",-,Slovenia
Zan Karnicnik,2,Defender,29,"6'0""",69,Slovenia
Jaka Bijol,6,Midfielder,25,"6'2""",85,Slovenia
Zan Vipotnik,18,Forward,22,"6'0""",-,Slovenia
Benjamin Sesko,11,Forward,21,"6'4""",-,Slovenia
Jesus Navas,22,Defender,38,"5'7""",60,Spain
Mato Joselu,12,Forward,34,"6'3""",80,Spain
Alvaro Morata,7,Forward,31,"6'2""",84,Spain
Dani Carvajal,20,Defender,32,"5'8""",73,Spain
Pablo Sarabia,17,Forward,32,"5'10""",70,Spain
Gerard Moreno,9,Forward,32,"5'10""",77,Spain
Aymeric Laporte,14,Defender,30,"6'2""",87,Spain
Alex Grimaldo,3,Defender,28,"5'7""",68,Spain
David Raya,1,Goalkeeper,28,"6'0""",80,Spain
Mikel Merino,6,Midfielder,28,"6'2""",83,Spain
Marc Cucurella,2,Defender,26,"5'7""",66,Spain
Fabian Ruiz,8,Midfielder,28,"6'2""",70,Spain
Alex Remiro,13,Goalkeeper,29,"6'3""",79,Spain
Robin Le Normand,5,Defender,27,"6'1""",80,Spain
Unai Simon,23,Goalkeeper,27,"6'2""",88,Spain
Dani Olmo,10,Midfielder,26,"5'10""",72,Spain
Rodri,16,Midfielder,28,"6'2""",78,Spain
Mikel Oyarzabal,21,Forward,27,"5'11""",78,Spain
Alex Baena,15,Midfielder,23,"5'8""",-,Spain
Dani Vivian,25,Defender,25,"6'0""",82,Spain
Pedro Porro,24,Defender,24,"5'8""",71,Spain
Martin Zubimendi,4,Midfielder,25,"5'10""",74,Spain
Oihan Sancet,18,Midfielder,24,"6'2""",72,Spain
Nico Williams,11,Forward,22,"5'11""",67,Spain
Lamine Yamal Nasraqui Ebana,19,Forward,17,-,-,Spain
Pau Cubarsi Paredes,26,Defender,-,-,-,Spain
Yann Sommer,1,Goalkeeper,35,"6'0""",79,Switzerland
Xherdan Shaqiri,23,Midfielder,32,"5'6""",78,Switzerland
Ricardo Rodriguez,13,Defender,32,"5'10""",81,Switzerland
Fabian Schar,22,Defender,32,"6'1""",85,Switzerland
Remo Freuler,8,Midfielder,32,"5'11""",80,Switzerland
Granit Xhaka,10,Midfielder,31,"6'1""",80,Switzerland
Yvon Mvogo,12,Goalkeeper,30,"6'2""",84,Switzerland
Silvan Widmer,3,Defender,31,"6'0""",77,Switzerland
Kevin Mbabu,2,Defender,29,"6'0""",80,Switzerland
David Von Ballmoos,21,Goalkeeper,29,"6'3""",88,Switzerland
Renato Steffen,11,Forward,32,"5'6""",65,Switzerland
Nico Elvedi,4,Defender,27,"6'2""",84,Switzerland
Dereck Kutesa,26,Midfielder,26,"5'9""",67,Switzerland
Manuel Akanji,5,Defender,29,"6'1""",90,Switzerland
Gregor Kobel,21,Goalkeeper,26,"6'4""",88,Switzerland
Ulisses Garcia,15,Defender,28,"6'0""",82,Switzerland
Jonas Omlin,12,Goalkeeper,30,"6'2""",85,Switzerland
Eray Comert,18,Defender,26,"6'0""",80,Switzerland
Denis Zakaria,6,Midfielder,27,"6'2""",81,Switzerland
Vincent Sierro,25,Midfielder,28,"6'1""",79,Switzerland
Cedric Zesiger,15,Defender,26,"6'4""",88,Switzerland
Michel Aebischer,20,Midfielder,27,"6'0""",74,Switzerland
Uran Bislimi,16,Midfielder,24,"6'0""",76,Switzerland
Noah Okafor,9,Forward,24,"6'0""",85,Switzerland
Ruben Vargas,17,Midfielder,26,"5'10""",68,Switzerland
Becir Omeragic,24,Defender,22,"6'1""",76,Switzerland
Dan Ndoye,19,Forward,23,"6'0""",78,Switzerland
Zeki Amdouni,7,Forward,23,"6'0""",79,Switzerland
Mert Gunok,1,Goalkeeper,35,"6'5""",92,Turkey
Hakan Calhanoglu,10,Midfielder,30,"5'10""",76,Turkey
Kaan Ayhan,22,Defender,29,"6'0""",84,Turkey
Abdulkerim Bardakci,14,Defender,29,"6'2""",80,Turkey
Okan Kocuk,12,Goalkeeper,29,"6'1""",79,Turkey
Irfan Kahveci,8,Midfielder,29,"5'8""",67,Turkey
Enes Unal,9,Forward,27,"6'1""",78,Turkey
Zeki Celik,2,Defender,27,"5'10""",-,Turkey
Merih Demiral,3,Defender,26,"6'3""",85,Turkey
Ugurcan Cakir,23,Goalkeeper,28,"6'3""",78,Turkey
Cengiz Under,17,Forward,27,"5'8""",66,Turkey
Salih Ozcan,5,Midfielder,26,"5'11""",74,Turkey
Samet Akaydin,4,Defender,30,"6'2""",83,Turkey
Ferdi Kadioglu,20,Defender,24,"5'8""",68,Turkey
Abdulkadir Omur,20,Midfielder,25,"5'6""",62,Turkey
Muhammed Sengezer,12,Goalkeeper,27,"6'3""",75,Turkey
Yusuf Yazici,11,Forward,27,"6'0""",75,Turkey
Mert Muldur,18,Defender,25,"6'2""",74,Turkey
Kerem Akturkoglu,7,Forward,25,"5'8""",68,Turkey
Ozan Kabak,15,Defender,24,"6'1""",86,Turkey
Yunus Akgun,24,Forward,24,"5'8""",65,Turkey
Orkun Kokcu,6,Midfielder,23,"5'8""",70,Turkey
Ridvan Yilmaz,13,Defender,23,"5'8""",60,Turkey
Baris Yilmaz,21,Midfielder,24,"6'1""",-,Turkey
Oguz Aydin,26,Forward,23,"6'0""",-,Turkey
Ismail Yuksek,16,Midfielder,25,"6'0""",-,Turkey
Cenk Ozkacar,13,Defender,23,"6'2""",-,Turkey
Ahmetcan Kaplan,,Defender,21,"6'2""",-,Turkey
Arda Guler,17,Midfielder,19,"5'9""",-,Turkey
Kenan Yildiz,19,Midfielder,19,-,-,Turkey
Semih Kilicsoy,,Forward,18,"5'10""",-,Turkey
Can Yılmaz Uzun,25,Midfielder,18,"6'1""",-,Turkey
Serhiy Sydorchuk,5,Midfielder,33,"6'0""",79,Ukraine
Georgiy Bushchan,1,Goalkeeper,30,"6'5""",93,Ukraine
Ruslan Malinovskyi,8,Midfielder,31,"5'11""",79,Ukraine
Roman Yaremchuk,9,Forward,28,"6'3""",74,Ukraine
Oleksandr Zinchenko,17,Defender,27,"5'8""",64,Ukraine
Viktor Tsygankov,15,Forward,26,"5'8""",71,Ukraine
Mykola Matvienko,22,Defender,28,"5'11""",74,Ukraine
Oleksandr Zubkov,20,Midfielder,28,"5'11""",78,Ukraine
Oleksandr Tymchyk,21,Defender,27,"5'10""",67,Ukraine
Bogdan Mykhaylichenko,3,Defender,27,"5'10""",68,Ukraine
Artem Dovbyk,11,Forward,27,"6'0""",76,Ukraine
Mykola Shaparenko,6,Forward,25,"5'9""",67,Ukraine
Valerii Bondar,19,Defender,25,"5'7""",73,Ukraine
Andriy Lunin,23,Goalkeeper,25,"6'3""",80,Ukraine
Vitaliy Mykolenko,16,Defender,25,"6'0""",71,Ukraine
Anatolii Trubin,12,Goalkeeper,23,"6'6""",86,Ukraine
Yukhym Konoplya,2,Defender,24,"5'10""",74,Ukraine
Mykhailo Mudryk,10,Forward,23,"5'8""",61,Ukraine
Georgiy Sudakov,7,Midfielder,21,"5'9""",68,Ukraine
Illia Zabarnyi,13,Defender,21,"6'1""",81,Ukraine
Volodymyr Brazhko,14,Defender,22,"6'0""",-,Ukraine
Vladyslav Andriyovych Vanat,18,Forward,22,"5'11""",-,Ukraine
Maksym Talovierov,4,Defender,24,"6'4""",84,Ukraine
