Player_ID,SHIRT_N,PLAYER_NAME,AGE,HEIGHT,FOOT,Country,SQUAD,SQUAD_RANKING,OPPONENT,OPPONENT RANKING,M_WEEKDAY,M_MONTH,M_SEASON,YEAR,COMPETITION_N,ROUND_N,VENUE_N,STARTER,STRIKER,Penalty,Penalty_shooter,MINUTES,GOALS
PT-7,7,Cristiano Ronaldo,24,187,1,pt,Portugal,5,Albania,96,7,6,2,2009,2,1,2,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,25,187,1,pt,Portugal,5,Denmark,28,7,9,3,2009,2,1,2,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,25,187,1,pt,Portugal,5,Hungary,54,4,9,3,2009,2,1,2,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,25,187,1,pt,Portugal,5,Hungary,54,7,10,3,2009,2,1,1,1,0,0,1,16,0
PT-7,7,Cristiano Ronaldo,25,187,1,pt,Portugal,8,Côte d'Ivoire,21,3,6,2,2010,4,1,3,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,25,187,1,pt,Portugal,8,Korea DPR,108,2,6,2,2010,4,1,3,1,0,0,1,90,1
PT-7,7,Cristiano Ronaldo,25,187,1,pt,Portugal,8,Brazil,4,6,6,2,2010,4,1,3,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,25,187,1,pt,Portugal,8,Spain,1,3,6,2,2010,4,2,3,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,26,187,1,pt,Portugal,8,Denmark,28,6,10,3,2010,2,1,1,1,0,0,1,90,1
PT-7,7,Cristiano Ronaldo,26,187,1,pt,Portugal,8,Iceland,112,3,10,3,2010,2,1,2,1,0,0,1,90,1
PT-7,7,Cristiano Ronaldo,26,187,1,pt,Portugal,7,Norway,25,7,6,2,2011,2,1,1,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,27,187,1,pt,Portugal,7,Cyprus,127,6,9,3,2011,2,1,2,1,0,1,1,90,2
PT-7,7,Cristiano Ronaldo,27,187,1,pt,Portugal,7,Iceland,104,6,10,3,2011,2,1,1,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,27,187,1,pt,Portugal,7,Denmark,11,3,10,3,2011,2,1,2,1,0,0,1,90,1
PT-7,7,Cristiano Ronaldo,27,187,1,pt,Portugal,7,Bosnia & Herz'na,20,6,11,3,2011,2,1,2,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,27,187,1,pt,Portugal,7,Bosnia & Herz'na,20,3,11,3,2011,2,1,1,1,0,0,1,90,2
PT-7,7,Cristiano Ronaldo,27,187,1,pt,Portugal,7,Germany,2,7,6,2,2012,3,1,2,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,27,187,1,pt,Portugal,7,Denmark,23,4,6,2,2012,3,1,2,1,0,0,1,90,0
PT-7,7,Cristiano Ronaldo,27,187,1,pt,Portugal,7,Netherlands,8,1,6,2,2012,3,1,1,1,0,0,1,90,2
PT-7,7,Cristiano Ronaldo,27,187,1,pt,Portugal,7,Czechia,29,5,6,2,2012,3,3,2,1,0,0,1,90,1
PT-7,7,Cristiano Ronaldo,27,187,1,pt,Portugal,7,Spain,1,4,6,2,2012,3,4,1,1,0,0,1,120,0
PT-7,7,Cristiano Ronaldo,28,187,1,pt,Portugal,7,Luxembourg,148,6,9,3,2012,2,1,2,1,0,0,1,90,1
PT-7,7,Cristiano Ronaldo,28,187,1,pt,Portugal,7,Azerbaijan,118,3,9,3,2012,2,1,1,1,0,0,1,90,0
