DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
22-May-97,183,Roland Sallai,5/20/2016,Fri,Friendlies (M),Friendlies (M),Home,D 0–0,hu Hungary,ci Côte d'Ivoire,N,,12,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
22-May-97,183,Roland Sallai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-May-97,183,Roland Sallai,6/5/2017,Mon,Friendlies (M),Friendlies (M),Home,L 0–3,hu Hungary,ru Russia,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
22-May-97,183,Roland Sallai,6/9/2017,Fri,WCQ,First round,Away,L 0–1,hu Hungary,ad Andorra,N,,20,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
22-May-97,183,Roland Sallai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-May-97,183,Roland Sallai,10/7/2017,Sat,WCQ,First round,Away,L 2–5,hu Hungary,ch Switzerland,N,,22,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
22-May-97,183,Roland Sallai,10/10/2017,Tue,WCQ,First round,Home,W 1–0,hu Hungary,fo Faroe Islands,N,,2,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
22-May-97,183,Roland Sallai,11/9/2017,Thu,Friendlies (M),Friendlies (M),Away,L 1–2,hu Hungary,lu Luxembourg,N,,28,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
22-May-97,183,Roland Sallai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-May-97,183,Roland Sallai,6/6/2018,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,hu Hungary,by Belarus,N,,26,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
22-May-97,183,Roland Sallai,6/9/2018,Sat,Friendlies (M),Friendlies (M),Home,L 1–2,hu Hungary,au Australia,Y,AM,83,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
22-May-97,183,Roland Sallai,9/8/2018,Sat,UEFA Nations League,League C,Away,L 0–1,hu Hungary,fi Finland,Y,DM,71,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
22-May-97,183,Roland Sallai,9/11/2018,Tue,UEFA Nations League,League C,Home,W 2–1,hu Hungary,gr Greece,Y,FW,90,1,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
22-May-97,183,Roland Sallai,10/12/2018,Fri,UEFA Nations League,League C,Away,L 0–1,hu Hungary,gr Greece,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
22-May-97,183,Roland Sallai,10/15/2018,Mon,UEFA Nations League,League C,Away,D 3–3,hu Hungary,ee Estonia,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
22-May-97,183,Roland Sallai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
