DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
5-Feb-85,187,Cristiano Ronaldo,11/15/2006,Wed,UEFA Euro Qualifying,Group stage,Home,W 3–0,pt Portugal,kz Kazakhstan,Y,,55,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/24/2007,Sat,UEFA Euro Qualifying,Group stage,Home,W 4–0,pt Portugal,be Belgium,Y,,77,2,,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/28/2007,Wed,UEFA Euro Qualifying,Group stage,Away,D 1–1,pt Portugal,rs Serbia,Y,,90,0,,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,8/22/2007,Wed,UEFA Euro Qualifying,Group stage,Away,D 1–1,pt Portugal,am Armenia,Y,,90,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/8/2007,Sat,UEFA Euro Qualifying,Group stage,Home,D 2–2,pt Portugal,pl Poland,Y,,90,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/12/2007,Wed,UEFA Euro Qualifying,Group stage,Home,D 1–1,pt Portugal,rs Serbia,Y,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/13/2007,Sat,UEFA Euro Qualifying,Group stage,Away,W 2–0,pt Portugal,az Azerbaijan,Y*,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/17/2007,Wed,UEFA Euro Qualifying,Group stage,Away,W 2–1,pt Portugal,kz Kazakhstan,Y*,,90,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,11/17/2007,Sat,UEFA Euro Qualifying,Group stage,Home,W 1–0,pt Portugal,am Armenia,Y,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,11/21/2007,Wed,UEFA Euro Qualifying,Group stage,Home,D 0–0,pt Portugal,fi Finland,Y*,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/7/2008,Sat,UEFA Euro,Group stage,Home,W 2–0,pt Portugal,tr Türkiye,Y,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/11/2008,Wed,UEFA Euro,Group stage,Away,W 3–1,pt Portugal,cz Czechia,Y,,90,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/19/2008,Thu,UEFA Euro,Quarter-finals,Home,L 2–3,pt Portugal,de Germany,Y,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/11/2008,Sat,WCQ,First round,Away,D 0–0,pt Portugal,se Sweden,Y*,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/15/2008,Wed,WCQ,First round,Home,D 0–0,pt Portugal,al Albania,Y*,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/28/2009,Sat,WCQ,First round,Home,D 0–0,pt Portugal,se Sweden,Y*,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/6/2009,Sat,WCQ,First round,Away,W 2–1,pt Portugal,al Albania,Y*,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/5/2009,Sat,WCQ,First round,Away,D 1–1,pt Portugal,dk Denmark,Y*,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/9/2009,Wed,WCQ,First round,Away,W 1–0,pt Portugal,hu Hungary,Y*,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/10/2009,Sat,WCQ,First round,Home,W 3–0,pt Portugal,hu Hungary,Y,,16,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
