DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
13-Jul-96,175,Che Adams,3/25/2021,Thu,WCQ,First round,Home,D 2–2,sct Scotland,at Austria,N,,25,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,3/28/2021,Sun,WCQ,First round,Away,D 1–1,sct Scotland,il Israel,Y,FW,74,0,1,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,3/31/2021,Wed,WCQ,First round,Home,W 4–0,sct Scotland,fo Faroe Islands,Y,FW,72,1,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,6/6/2021,Sun,Friendlies (M),Friendlies (M),Away,W 1–0,sct Scotland,lu Luxembourg,Y,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,6/14/2021,Mon,UEFA Euro,Group stage,Neutral,L 0–2,sct Scotland,cz Czechia,N,FW,45,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.7,2,0,13,14,92.9,3,11,0,1,1,Match Report
13-Jul-96,175,Che Adams,6/18/2021,Fri,UEFA Euro,Group stage,Neutral,D 0–0,sct Scotland,eng England,Y,FW,85,0,0,0,0,5,0,0,0,33,1,1,0,0.3,0.3,0,1,0,21,24,87.5,3,18,0,1,1,Match Report
13-Jul-96,175,Che Adams,6/22/2021,Tue,UEFA Euro,Group stage,Neutral,L 1–3,sct Scotland,hr Croatia,Y,FW,83,0,0,0,0,2,1,0,0,18,0,0,0,0.1,0.1,0,1,0,8,13,61.5,1,12,0,0,0,Match Report
13-Jul-96,175,Che Adams,9/1/2021,Wed,WCQ,First round,Away,L 0–2,sct Scotland,dk Denmark,Y,FW,70,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,9/4/2021,Sat,WCQ,First round,Home,W 1–0,sct Scotland,md Moldova,N,,26,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,9/7/2021,Tue,WCQ,First round,Away,W 1–0,sct Scotland,at Austria,Y,FW,87,0,0,0,0,1,0,1,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,10/9/2021,Sat,WCQ,First round,Home,W 3–2,sct Scotland,il Israel,Y,FW,66,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,11/12/2021,Fri,WCQ,First round,Away,W 2–0,sct Scotland,md Moldova,Y,FW,84,1,0,0,0,4,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,11/15/2021,Mon,WCQ,First round,Home,W 2–0,sct Scotland,dk Denmark,Y,FW,90,1,0,0,0,3,2,0,0,,,1,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,3/24/2022,Thu,Friendlies (M),Friendlies (M),Neutral,D 1–1,sct Scotland,pl Poland,Y,FW,89,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,3/29/2022,Tue,Friendlies (M),Friendlies (M),Neutral,D 2–2,sct Scotland,at Austria,Y,FW,65,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,6/1/2022,Wed,WCQ,Semi-finals,Home,L 1–3,sct Scotland,ua Ukraine,Y,FW,90,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,6/8/2022,Wed,UEFA Nations League,League B,Home,W 2–0,sct Scotland,am Armenia,Y,FW,86,0,0,0,0,4,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,6/11/2022,Sat,UEFA Nations League,League B,Away,L 0–3,sct Scotland,ie Rep. of Ireland,Y,FW,57,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,6/14/2022,Tue,UEFA Nations League,League B,Away,W 4–1,sct Scotland,am Armenia,Y,FW,73,1,1,0,0,4,3,1,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,9/21/2022,Wed,UEFA Nations League,League B,Home,W 3–0,sct Scotland,ua Ukraine,Y,FW,75,0,0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,9/24/2022,Sat,UEFA Nations League,League B,Home,W 2–1,sct Scotland,ie Rep. of Ireland,N,,6,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,9/27/2022,Tue,UEFA Nations League,League B,Away,D 0–0,sct Scotland,ua Ukraine,Y,FW,78,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,3/25/2023,Sat,UEFA Euro Qualifying,Group stage,Home,W 3–0,sct Scotland,cy Cyprus,Y,FW,57,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,9/8/2023,Fri,UEFA Euro Qualifying,Group stage,Away,W 3–0,sct Scotland,cy Cyprus,Y,FW,66,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,9/12/2023,Tue,Friendlies (M),Friendlies (M),Home,L 1–3,sct Scotland,eng England,Y,FW,58,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,10/12/2023,Thu,UEFA Euro Qualifying,Group stage,Away,L 0–2,sct Scotland,es Spain,N,,12,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,10/17/2023,Tue,Friendlies (M),Friendlies (M),Away,L 1–4,sct Scotland,fr France,Y,FW,63,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,3/22/2024,Fri,Friendlies (M),Friendlies (M),Away,L 0–4,sct Scotland,nl Netherlands,N,,23,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13-Jul-96,175,Che Adams,3/26/2024,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,sct Scotland,nir Northern Ireland,N,,21,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
,,,,,,,,13-6-10,,,22/29,,"1,816",5,2,0,0,41,16,2,0,68,1,2,0,0.4,0.4,0.7,4,0,42,51,82.4,7,41,0,2,2,
