DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
25-Jul-02,180,Adam Hlozek,9/4/2020,Fri,UEFA Nations League,League B,Away,W 3–1,cz Czechia,sk Slovakia,Y,FW,71,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,10/7/2020,Wed,Friendlies (M),Friendlies (M),Away,W 2–1,cz Czechia,cy Cyprus,N,,29,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,6/8/2021,Tue,Friendlies (M),Friendlies (M),Home,W 3–1,cz Czechia,al Albania,N,,27,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,6/14/2021,Mon,UEFA Euro,Group stage,Neutral,W 2–0,cz Czechia,sct Scotland,N,LW,19,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.3,1,0,7,7,100,4,7,2,0,0,Match Report
25-Jul-02,180,Adam Hlozek,6/18/2021,Fri,UEFA Euro,Group stage,Neutral,D 1–1,cz Czechia,hr Croatia,N,LW,28,0,0,0,0,1,0,1,0,17,0,0,0,0.1,0.1,0,0,0,7,14,50,1,9,2,1,0,Match Report
25-Jul-02,180,Adam Hlozek,6/22/2021,Tue,UEFA Euro,Group stage,Neutral,L 0–1,cz Czechia,eng England,N,LW,27,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,5,40,1,3,1,0,0,Match Report
25-Jul-02,180,Adam Hlozek,6/27/2021,Sun,UEFA Euro,Round of 16,Neutral,W 2–0,cz Czechia,nl Netherlands,N,LM,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,50,0,3,1,0,0,Match Report
25-Jul-02,180,Adam Hlozek,9/2/2021,Thu,WCQ,First round,Home,W 1–0,cz Czechia,by Belarus,Y,AM,77,0,1,0,0,4,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,9/5/2021,Sun,WCQ,First round,Away,L 0–3,cz Czechia,be Belgium,Y,AM,76,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,9/8/2021,Wed,Friendlies (M),Friendlies (M),Home,D 1–1,cz Czechia,ua Ukraine,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,10/8/2021,Fri,WCQ,First round,Home,D 2–2,cz Czechia,wls Wales,Y,AM,89,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,10/11/2021,Mon,WCQ,First round,Away,W 2–0,cz Czechia,by Belarus,Y,AM,87,1,0,0,0,4,1,1,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,3/24/2022,Thu,WCQ,Semi-finals,Away,L 0–1,cz Czechia,se Sweden,Y,AM,120,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,3/29/2022,Tue,Friendlies (M),Friendlies (M),Neutral,D 1–1,cz Czechia,wls Wales,N,,10,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,6/2/2022,Thu,UEFA Nations League,League A,Home,W 2–1,cz Czechia,ch Switzerland,Y,FW,86,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,6/5/2022,Sun,UEFA Nations League,League A,Home,D 2–2,cz Czechia,es Spain,N,,32,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,6/9/2022,Thu,UEFA Nations League,League A,Away,L 0–2,cz Czechia,pt Portugal,Y,FW,72,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,6/12/2022,Sun,UEFA Nations League,League A,Away,L 0–2,cz Czechia,es Spain,N,,32,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,9/24/2022,Sat,UEFA Nations League,League A,Home,L 0–4,cz Czechia,pt Portugal,Y,FW,62,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,3/24/2023,Fri,UEFA Euro Qualifying,Group stage,Home,W 3–1,cz Czechia,pl Poland,Y,FW,88,0,0,0,0,1,0,0,0,,,2,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,3/27/2023,Mon,UEFA Euro Qualifying,Group stage,Away,D 0–0,cz Czechia,md Moldova,Y,FW,82,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,6/17/2023,Sat,UEFA Euro Qualifying,Group stage,Away,W 3–0,cz Czechia,fo Faroe Islands,Y,AM,68,0,0,0,0,5,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,6/20/2023,Tue,Friendlies (M),Friendlies (M),Away,W 4–1,cz Czechia,me Montenegro,N,,21,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,9/7/2023,Thu,UEFA Euro Qualifying,Group stage,Home,D 1–1,cz Czechia,al Albania,N,,20,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,9/10/2023,Sun,Friendlies (M),Friendlies (M),Away,D 1–1,cz Czechia,hu Hungary,Y,FW,82,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,10/12/2023,Thu,UEFA Euro Qualifying,Group stage,Away,L 0–3,cz Czechia,al Albania,N,,27,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,10/15/2023,Sun,UEFA Euro Qualifying,Group stage,Home,W 1–0,cz Czechia,fo Faroe Islands,Y,AM,90,0,0,0,0,5,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,11/17/2023,Fri,UEFA Euro Qualifying,Group stage,Away,D 1–1,cz Czechia,pl Poland,N,,45,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,11/20/2023,Mon,UEFA Euro Qualifying,Group stage,Home,W 3–0,cz Czechia,md Moldova,Y,FW,57,0,0,0,0,4,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,3/22/2024,Fri,Friendlies (M),Friendlies (M),Away,W 2–1,cz Czechia,no Norway,N,,30,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
25-Jul-02,180,Adam Hlozek,3/26/2024,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,cz Czechia,am Armenia,Y,FW,63,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
