DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
20-Dec-98,178,Kylian Mbappe,3/25/2017,Sat,WCQ,First round,Away,W 3–1,fr France,lu Luxembourg,N,,13,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,3/28/2017,Tue,Friendlies (M),Friendlies (M),Home,L 0–2,fr France,es Spain,Y,FW,64,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,6/9/2017,Fri,WCQ,First round,Away,L 1–2,fr France,se Sweden,N,,15,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,6/13/2017,Tue,Friendlies (M),Friendlies (M),Home,W 3–2,fr France,eng England,Y,FW,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,8/31/2017,Thu,WCQ,First round,Home,W 4–0,fr France,nl Netherlands,N,,15,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,9/3/2017,Sun,WCQ,First round,Home,D 0–0,fr France,lu Luxembourg,Y,RM,58,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,10/7/2017,Sat,WCQ,First round,Away,W 1–0,fr France,bg Bulgaria,Y,FW,84,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,10/10/2017,Tue,WCQ,First round,Home,W 2–1,fr France,by Belarus,N,,30,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,11/10/2017,Fri,Friendlies (M),Friendlies (M),Home,W 2–0,fr France,wls Wales,Y,RM,83,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,11/14/2017,Tue,Friendlies (M),Friendlies (M),Away,D 2–2,fr France,de Germany,Y,FW,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,3/23/2018,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,fr France,co Colombia,Y,AM,65,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,3/27/2018,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,fr France,ru Russia,Y,FW,85,2,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,5/28/2018,Mon,Friendlies (M),Friendlies (M),Home,W 2–0,fr France,ie Rep. of Ireland,Y,FW,76,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,6/1/2018,Fri,Friendlies (M),Friendlies (M),Home,W 3–1,fr France,it Italy,Y,FW,82,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,6/9/2018,Sat,Friendlies (M),Friendlies (M),Home,D 1–1,fr France,us United States,Y,FW,87,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
20-Dec-98,178,Kylian Mbappe,6/16/2018,Sat,World Cup,Group stage,Neutral,W 2–1,fr France,au Australia,Y,"RW,FW",90,0,0,0,0,1,1,0,0,34,1,0,1,0.1,0.1,0.1,5,0,19,22,86.4,2,23,1,6,4,Match Report
20-Dec-98,178,Kylian Mbappe,6/21/2018,Thu,World Cup,Group stage,Neutral,W 1–0,fr France,pe Peru,Y,RW,74,1,0,0,0,2,2,0,0,44,2,0,0,1.4,1.4,0,0,0,22,29,75.9,3,24,3,6,4,Match Report
20-Dec-98,178,Kylian Mbappe,6/26/2018,Tue,World Cup,Group stage,Neutral,D 0–0,fr France,dk Denmark,N,RW,13,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,9,12,75,0,12,3,1,0,Match Report
20-Dec-98,178,Kylian Mbappe,6/30/2018,Sat,World Cup,Round of 16,Neutral,W 4–3,fr France,ar Argentina,Y,RW,88,2,0,0,0,2,2,0,0,42,1,2,0,0.5,0.5,0,6,3,17,27,63,1,32,1,10,7,Match Report
20-Dec-98,178,Kylian Mbappe,7/6/2018,Fri,World Cup,Quarter-finals,Neutral,W 2–0,fr France,uy Uruguay,Y,RW,87,0,0,0,0,1,0,1,0,42,0,0,0,0.1,0.1,0,3,0,26,32,81.3,1,37,4,11,6,Match Report
20-Dec-98,178,Kylian Mbappe,7/10/2018,Tue,World Cup,Semi-finals,Neutral,W 1–0,fr France,be Belgium,Y,RW,90,0,0,0,0,0,0,1,0,44,1,0,0,0,0,1,9,0,23,30,76.7,3,37,7,12,7,Match Report
