DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
29-Apr-99,186,Mateo Retegui,3/23/2023,Thu,UEFA Euro Qualifying,Group stage,Home,L 1–2,it Italy,eng England,Y,FW,90,1,0,0,0,5,1,0,0,1,1,0,1,0,0,0,,,Match Report
29-Apr-99,186,Mateo Retegui,3/26/2023,Sun,UEFA Euro Qualifying,Group stage,Away,W 2–0,it Italy,mt Malta,Y,FW,65,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,,,Match Report
29-Apr-99,186,Mateo Retegui,6/18/2023,Sun,UEFA Nations League,Third-place match,Neutral,W 3–2,it Italy,nl Netherlands,Y,FW,84,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,,,Match Report
29-Apr-99,186,Mateo Retegui,9/12/2023,Tue,UEFA Euro Qualifying,Group stage,Home,W 2–1,it Italy,ua Ukraine,N,,19,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,Match Report
29-Apr-99,186,Mateo Retegui,3/21/2024,Thu,Friendlies (M),Friendlies (M),Neutral,W 2–1,it Italy,ve Venezuela,Y,FW,86,2,0,0,0,,,0,0,,,,,,,0,,,Match Report
29-Apr-99,186,Mateo Retegui,3/24/2024,Sun,Friendlies (M),Friendlies (M),Neutral,W 2–0,it Italy,ec Ecuador,N,,15,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
