DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
23-Oct-92,189,Alvaro Morata,11/15/2014,Sat,UEFA Euro Qualifying,Group stage,Home,W 3–0,es Spain,by Belarus,N,,11,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,11/18/2014,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,es Spain,de Germany,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,3/27/2015,Fri,UEFA Euro Qualifying,Group stage,Home,W 1–0,es Spain,ua Ukraine,Y,FW,64,1,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,3/31/2015,Tue,Friendlies (M),Friendlies (M),Away,L 0–2,es Spain,nl Netherlands,N,,29,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,6/14/2015,Sun,UEFA Euro Qualifying,Group stage,Away,W 1–0,es Spain,by Belarus,Y,FW,90,0,0,0,0,5,3,1,0,,,0,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,10/9/2015,Fri,UEFA Euro Qualifying,Group stage,Home,W 4–0,es Spain,lu Luxembourg,Y,FW,32,0,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,3/24/2016,Thu,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,it Italy,Y,FW,85,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,3/27/2016,Sun,Friendlies (M),Friendlies (M),Away,D 0–0,es Spain,ro Romania,N,,12,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,6/1/2016,Wed,Friendlies (M),Friendlies (M),Away,W 6–1,es Spain,kr Korea Republic,Y,FW,90,2,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,6/13/2016,Mon,UEFA Euro,Group stage,Neutral,W 1–0,es Spain,cz Czechia,Y,FW,61,0,0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,6/17/2016,Fri,UEFA Euro,Group stage,Neutral,W 3–0,es Spain,tr Türkiye,Y,FW,90,2,0,0,0,5,3,0,0,,,0,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,6/21/2016,Tue,UEFA Euro,Group stage,Neutral,L 1–2,es Spain,hr Croatia,Y,FW,66,1,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,6/27/2016,Mon,UEFA Euro,Round of 16,Neutral,L 0–2,es Spain,it Italy,Y,FW,69,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,9/1/2016,Thu,Friendlies (M),Friendlies (M),Away,W 2–0,es Spain,be Belgium,Y,FW,26,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,9/5/2016,Mon,WCQ,First round,Home,W 8–0,es Spain,li Liechtenstein,N,,22,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,10/6/2016,Thu,WCQ,First round,Away,D 1–1,es Spain,it Italy,N,,24,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,11/12/2016,Sat,WCQ,First round,Home,W 4–0,es Spain,mk N. Macedonia,Y,FW,59,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,11/15/2016,Tue,Friendlies (M),Friendlies (M),Away,D 2–2,es Spain,eng England,N,,27,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,3/28/2017,Tue,Friendlies (M),Friendlies (M),Away,W 2–0,es Spain,fr France,Y,FW,83,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,6/7/2017,Wed,Friendlies (M),Friendlies (M),Home,D 2–2,es Spain,co Colombia,N,,35,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,9/2/2017,Sat,WCQ,First round,Home,W 3–0,es Spain,it Italy,N,,19,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,9/5/2017,Tue,WCQ,First round,Away,W 8–0,es Spain,li Liechtenstein,Y,FW,90,2,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,11/11/2017,Sat,Friendlies (M),Friendlies (M),Home,W 5–0,es Spain,cr Costa Rica,Y,FW,45,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,10/11/2018,Thu,Friendlies (M),Friendlies (M),Away,W 4–1,es Spain,wls Wales,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,10/15/2018,Mon,UEFA Nations League,League A,Home,L 2–3,es Spain,eng England,N,,19,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,11/15/2018,Thu,UEFA Nations League,League A,Away,L 2–3,es Spain,hr Croatia,N,,27,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,11/18/2018,Sun,Friendlies (M),Friendlies (M),Home,W 1–0,es Spain,ba Bosnia & Herz'na,Y,FW,63,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,3/23/2019,Sat,UEFA Euro Qualifying,Group stage,Home,W 2–1,es Spain,no Norway,Y,FW,88,0,0,0,0,6,4,0,0,,,0,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,3/26/2019,Tue,UEFA Euro Qualifying,Group stage,Away,W 2–0,es Spain,mt Malta,Y,FW,78,2,0,0,0,6,3,0,0,,,1,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,6/7/2019,Fri,UEFA Euro Qualifying,Group stage,Away,W 4–1,es Spain,fo Faroe Islands,Y,FW,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,6/10/2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 3–0,es Spain,se Sweden,N,,26,1,0,1,1,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,11/15/2019,Fri,UEFA Euro Qualifying,Group stage,Home,W 7–0,es Spain,mt Malta,Y,FW,65,1,0,0,0,2,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,11/18/2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 5–0,es Spain,ro Romania,Y,FW,90,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,11/11/2020,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,nl Netherlands,Y,FW,60,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,11/14/2020,Sat,UEFA Nations League,League A,Away,D 1–1,es Spain,ch Switzerland,N,,35,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
23-Oct-92,189,Alvaro Morata,11/17/2020,Tue,UEFA Nations League,League A,Home,W 6–0,es Spain,de Germany,Y,FW,72,1,0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
