DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
24-Jan,186,Patrik Schick,5/27/2016,Fri,Friendlies (M),Friendlies (M),Home,W 6–0,cz Czechia,mt Malta,N,,25,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jan,186,Patrik Schick,10/11/2016,Tue,WCQ,First round,Home,D 0–0,cz Czechia,az Azerbaijan,Y,FW,65,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,11/11/2016,Fri,WCQ,First round,Home,W 2–1,cz Czechia,no Norway,N,,10,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jan,186,Patrik Schick,6/5/2017,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,cz Czechia,be Belgium,Y,FW,63,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,6/10/2017,Sat,WCQ,First round,Away,D 1–1,cz Czechia,no Norway,N,,28,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jan,186,Patrik Schick,6/1/2018,Fri,Friendlies (M),Friendlies (M),Away,L 0–4,cz Czechia,au Australia,Y,FW,74,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,6/6/2018,Wed,Friendlies (M),Friendlies (M),Away,W 1–0,cz Czechia,ng Nigeria,Y,FW,68,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,9/6/2018,Thu,UEFA Nations League,League B,Home,L 1–2,cz Czechia,ua Ukraine,Y,FW,82,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,10/13/2018,Sat,UEFA Nations League,League B,Away,W 2–1,cz Czechia,sk Slovakia,N,,18,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,10/16/2018,Tue,UEFA Nations League,League B,Away,L 0–1,cz Czechia,ua Ukraine,Y,FW,71,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,11/15/2018,Thu,Friendlies (M),Friendlies (M),Away,W 1–0,cz Czechia,pl Poland,Y,FW,76,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,11/19/2018,Mon,UEFA Nations League,League B,Home,W 1–0,cz Czechia,sk Slovakia,Y,FW,81,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,3/22/2019,Fri,UEFA Euro Qualifying,Group stage,Away,L 0–5,cz Czechia,eng England,Y,FW,81,0,0,0,0,1,0,1,0,,,1,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,3/26/2019,Tue,Friendlies (M),Friendlies (M),Home,L 1–3,cz Czechia,br Brazil,Y,FW,52,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,,,,,,,,,,,,Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,,
24-Jan,186,Patrik Schick,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
24-Jan,186,Patrik Schick,6/7/2019,Fri,UEFA Euro Qualifying,Group stage,Home,W 2–1,cz Czechia,bg Bulgaria,Y,FW,77,2,0,0,0,5,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,6/10/2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 3–0,cz Czechia,me Montenegro,Y,FW,87,1,0,1,1,5,2,1,0,,,0,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,9/7/2019,Sat,UEFA Euro Qualifying,Group stage,Away,L 1–2,cz Czechia,xk Kosovo,Y,FW,60,1,0,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,9/10/2019,Tue,UEFA Euro Qualifying,Group stage,Away,W 3–0,cz Czechia,me Montenegro,Y,FW,89,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,10/11/2019,Fri,UEFA Euro Qualifying,Group stage,Home,W 2–1,cz Czechia,eng England,Y,FW,64,0,0,0,0,2,1,0,0,,,1,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,10/14/2019,Mon,Friendlies (M),Friendlies (M),Home,L 2–3,cz Czechia,nir Northern Ireland,N,,26,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jan,186,Patrik Schick,3/24/2021,Wed,WCQ,First round,Away,W 6–2,cz Czechia,ee Estonia,Y,FW,78,1,2,0,0,4,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jan,186,Patrik Schick,3/30/2021,Tue,WCQ,First round,Away,L 0–1,cz Czechia,wls Wales,Y,FW,48,0,0,0,0,3,1,0,1,,,0,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,6/4/2021,Fri,Friendlies (M),Friendlies (M),Away,L 0–4,cz Czechia,it Italy,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,6/8/2021,Tue,Friendlies (M),Friendlies (M),Home,W 3–1,cz Czechia,al Albania,Y,FW,63,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,6/14/2021,Mon,UEFA Euro,Group stage,Neutral,W 2–0,cz Czechia,sct Scotland,Y,FW,86,2,0,0,0,6,5,0,0,41,3,0,1,0.6,0.6,0,1,0,14,22,63.6,0,20,1,2,1,Match Report
24-Jan,186,Patrik Schick,6/18/2021,Fri,UEFA Euro,Group stage,Neutral,D 1–1,cz Czechia,hr Croatia,Y,FW,73,1,0,1,1,3,0,0,0,29,1,0,0,1,0.3,0,2,1,15,21,71.4,3,14,1,2,2,Match Report
24-Jan,186,Patrik Schick,6/22/2021,Tue,UEFA Euro,Group stage,Neutral,L 0–1,cz Czechia,eng England,Y,FW,74,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0.1,2,0,20,24,83.3,3,13,0,0,0,Match Report
24-Jan,186,Patrik Schick,6/27/2021,Sun,UEFA Euro,Round of 16,Neutral,W 2–0,cz Czechia,nl Netherlands,Y,FW,89,1,0,0,0,3,2,0,0,25,1,0,0,0.5,0.5,0,1,0,12,15,80,0,10,0,1,1,Match Report
24-Jan,186,Patrik Schick,7/3/2021,Sat,UEFA Euro,Quarter-finals,Home,L 1–2,cz Czechia,dk Denmark,Y,FW,78,1,0,0,0,3,1,0,0,26,1,0,0,0.2,0.2,0,2,0,11,18,61.1,3,13,1,2,2,Match Report
24-Jan,186,Patrik Schick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jan,186,Patrik Schick,10/8/2021,Fri,WCQ,First round,Home,D 2–2,cz Czechia,wls Wales,Y*,FW,90,0,0,0,0,3,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,10/11/2021,Mon,WCQ,First round,Away,W 2–0,cz Czechia,by Belarus,Y,FW,89,1,1,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,,,,,,,,,,,,Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,,
24-Jan,186,Patrik Schick,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
24-Jan,186,Patrik Schick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jan,186,Patrik Schick,9/24/2022,Sat,UEFA Nations League,League A,Home,L 0–4,cz Czechia,pt Portugal,Y,FW,90,0,0,0,1,7,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,9/27/2022,Tue,UEFA Nations League,League A,Away,L 1–2,cz Czechia,ch Switzerland,Y,FW,90,1,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jan,186,Patrik Schick,3/22/2024,Fri,Friendlies (M),Friendlies (M),Away,W 2–1,cz Czechia,no Norway,Y,FW,86,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
24-Jan,186,Patrik Schick,3/26/2024,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,cz Czechia,am Armenia,Y,FW,72,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
