DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
6-Oct-97,186,Kasper Dolberg,11/11/2016,Fri,WCQ,First round,Home,W 4–1,dk Denmark,kz Kazakhstan,N,,9,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,6/6/2017,Tue,Friendlies (M),Friendlies (M),Home,D 1–1,dk Denmark,de Germany,N,,15,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,6/10/2017,Sat,WCQ,First round,Away,W 3–1,dk Denmark,kz Kazakhstan,N,,23,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,10/8/2017,Sun,WCQ,First round,Home,D 1–1,dk Denmark,ro Romania,N,,21,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,6/2/2018,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,dk Denmark,se Sweden,N,,18,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,6/9/2018,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,mx Mexico,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,6/26/2018,Tue,World Cup,Group stage,Neutral,D 0–0,dk Denmark,fr France,N,FW,16,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,5,80,1,6,1,0,0,Match Report
6-Oct-97,186,Kasper Dolberg,10/13/2018,Sat,UEFA Nations League,League B,Away,D 0–0,dk Denmark,ie Rep. of Ireland,Y,FW,78,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,10/16/2018,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,at Austria,Y,FW,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,11/16/2018,Fri,UEFA Nations League,League B,Away,W 2–1,dk Denmark,wls Wales,N,,21,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,3/21/2019,Thu,Friendlies (M),Friendlies (M),Away,D 2–2,dk Denmark,xk Kosovo,N,,31,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,6/7/2019,Fri,UEFA Euro Qualifying,Group stage,Home,D 1–1,dk Denmark,ie Rep. of Ireland,N,,26,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,6/10/2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 5–1,dk Denmark,ge Georgia,Y,FW,90,2,1,0,0,6,3,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,9/8/2019,Sun,UEFA Euro Qualifying,Group stage,Away,D 0–0,dk Denmark,ge Georgia,Y,FW,66,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,10/15/2019,Tue,Friendlies (M),Friendlies (M),Home,W 4–0,dk Denmark,lu Luxembourg,Y,FW,60,2,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,11/15/2019,Fri,UEFA Euro Qualifying,Group stage,Home,W 6–0,dk Denmark,gi Gibraltar,N,,36,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,11/18/2019,Mon,UEFA Euro Qualifying,Group stage,Away,D 1–1,dk Denmark,ie Rep. of Ireland,N,,58,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,9/5/2020,Sat,UEFA Nations League,League A,Home,L 0–2,dk Denmark,be Belgium,Y,FW,82,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,9/8/2020,Tue,UEFA Nations League,League A,Home,D 0–0,dk Denmark,eng England,Y,FW,75,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,10/11/2020,Sun,UEFA Nations League,League A,Away,W 3–0,dk Denmark,is Iceland,Y,FW,78,0,0,0,0,3,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,10/14/2020,Wed,UEFA Nations League,League A,Away,W 1–0,dk Denmark,eng England,Y,FW,36,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,11/11/2020,Wed,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,se Sweden,Y,FW,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,3/28/2021,Sun,WCQ,First round,Home,W 8–0,dk Denmark,md Moldova,Y,FW,90,2,0,1,1,3,2,0,0,,,1,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,3/31/2021,Wed,WCQ,First round,Away,W 4–0,dk Denmark,at Austria,N,,14,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,6/2/2021,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,dk Denmark,de Germany,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,6/6/2021,Sun,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,ba Bosnia & Herz'na,Y,FW,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,6/21/2021,Mon,UEFA Euro,Group stage,Neutral,W 4–1,dk Denmark,ru Russia,N,FW,31,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,6,66.7,0,9,2,2,1,Match Report
6-Oct-97,186,Kasper Dolberg,6/26/2021,Sat,UEFA Euro,Round of 16,Neutral,W 4–0,dk Denmark,wls Wales,Y,FW,69,2,0,0,0,4,3,0,0,26,2,0,0,1.1,1.1,0,1,0,9,13,69.2,0,13,0,2,2,Match Report
6-Oct-97,186,Kasper Dolberg,7/3/2021,Sat,UEFA Euro,Quarter-finals,Away,W 2–1,dk Denmark,cz Czechia,Y,FW,58,1,0,0,0,2,1,0,0,30,0,0,1,0.5,0.5,0.1,1,0,16,20,80,0,13,1,0,0,Match Report
6-Oct-97,186,Kasper Dolberg,7/7/2021,Wed,UEFA Euro,Semi-finals,Away,L 1–2,dk Denmark,eng England,Y,FW,66,0,0,0,0,1,1,0,0,17,1,0,0,0,0,0,1,1,8,9,88.9,1,6,0,1,1,Match Report
6-Oct-97,186,Kasper Dolberg,10/9/2021,Sat,WCQ,First round,Away,W 4–0,dk Denmark,md Moldova,N,,45,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,10/12/2021,Tue,WCQ,First round,Home,W 1–0,dk Denmark,at Austria,N,,47,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,3/26/2022,Sat,Friendlies (M),Friendlies (M),Neutral,L 2–4,dk Denmark,nl Netherlands,N,,33,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,3/29/2022,Tue,Friendlies (M),Friendlies (M),Neutral,W 3–0,dk Denmark,rs Serbia,Y,FW,55,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,6/3/2022,Fri,UEFA Nations League,League A,Away,W 2–1,dk Denmark,fr France,Y,FW,58,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,9/22/2022,Thu,UEFA Nations League,League A,Away,L 1–2,dk Denmark,hr Croatia,N,,2,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,9/25/2022,Sun,UEFA Nations League,League A,Home,W 2–0,dk Denmark,fr France,Y,FW,58,1,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,11/22/2022,Tue,World Cup,Group stage,Neutral,D 0–0,dk Denmark,tn Tunisia,Y,FW,64,0,0,0,0,2,0,0,0,19,0,0,0,0.3,0.3,0,1,0,8,11,72.7,1,16,0,1,0,Match Report
6-Oct-97,186,Kasper Dolberg,11/26/2022,Sat,World Cup,Group stage,Neutral,L 1–2,dk Denmark,fr France,N,FW,18,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.1,1,0,3,3,100,1,5,0,1,0,Match Report
6-Oct-97,186,Kasper Dolberg,11/30/2022,Wed,World Cup,Group stage,Neutral,L 0–1,dk Denmark,au Australia,N,FW,32,0,0,0,0,1,1,0,0,9,1,0,0,0.1,0.1,0,0,0,4,4,100,1,7,0,1,1,Match Report
6-Oct-97,186,Kasper Dolberg,10/14/2023,Sat,UEFA Euro Qualifying,Group stage,Home,W 3–1,dk Denmark,kz Kazakhstan,Y,AM,68,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,11/17/2023,Fri,UEFA Euro Qualifying,Group stage,Home,W 2–1,dk Denmark,si Slovenia,N,,5,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,11/20/2023,Mon,UEFA Euro Qualifying,Group stage,Away,L 0–2,dk Denmark,nir Northern Ireland,Y,FW,90,0,0,0,0,2,1,0,0,,,1,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,3/23/2024,Sat,Friendlies (M),Friendlies (M),Home,D 0–0,dk Denmark,ch Switzerland,N,,7,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6-Oct-97,186,Kasper Dolberg,3/26/2024,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,dk Denmark,fo Faroe Islands,Y,FW,75,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
