DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
13-May-93,192,Romelu Lukaku,9/3/2010,Fri,UEFA Euro Qualifying,Group stage,Home,L 0–1,be Belgium,de Germany,Y,,72,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13-May-93,192,Romelu Lukaku,9/7/2010,Tue,UEFA Euro Qualifying,Group stage,Away,L 2–3,be Belgium,tr Türkiye,Y,,75,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13-May-93,192,Romelu Lukaku,10/8/2010,Fri,UEFA Euro Qualifying,Group stage,Away,W 2–0,be Belgium,kz Kazakhstan,Y,,45,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13-May-93,192,Romelu Lukaku,10/12/2010,Tue,UEFA Euro Qualifying,Group stage,Home,D 4–4,be Belgium,at Austria,N,,18,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13-May-93,192,Romelu Lukaku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-May-93,192,Romelu Lukaku,9/2/2011,Fri,UEFA Euro Qualifying,Group stage,Away,D 1–1,be Belgium,az Azerbaijan,Y,,60,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13-May-93,192,Romelu Lukaku,10/11/2011,Tue,UEFA Euro Qualifying,Group stage,Away,L 1–3,be Belgium,de Germany,N,,45,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13-May-93,192,Romelu Lukaku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-May-93,192,Romelu Lukaku,9/7/2012,Fri,WCQ,First round,Away,W 2–0,be Belgium,wls Wales,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13-May-93,192,Romelu Lukaku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-May-93,192,Romelu Lukaku,6/7/2013,Fri,WCQ,First round,Home,W 2–1,be Belgium,rs Serbia,N,,8,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13-May-93,192,Romelu Lukaku,10/11/2013,Fri,WCQ,First round,Away,W 2–1,be Belgium,hr Croatia,Y,,67,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
