DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
21-Aug-88,185,Robert Lewandowski,9/10/2008,Wed,WCQ,First round,Away,W 2–0,pl Poland,sm San Marino,N,,33,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,10/11/2008,Sat,WCQ,First round,Home,W 2–1,pl Poland,cz Czechia,N,,22,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,10/15/2008,Wed,WCQ,First round,Away,L 1–2,pl Poland,sk Slovakia,N,,2,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,3/28/2009,Sat,WCQ,First round,Away,L 2–3,pl Poland,nir Northern Ireland,Y,,90,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,4/1/2009,Wed,WCQ,First round,Home,W 10–0,pl Poland,sm San Marino,Y,,65,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,9/5/2009,Sat,WCQ,First round,Home,D 1–1,pl Poland,nir Northern Ireland,N,,30,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,9/9/2009,Wed,WCQ,First round,Away,L 0–3,pl Poland,si Slovenia,N,,30,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,10/10/2009,Sat,WCQ,First round,Away,L 0–2,pl Poland,cz Czechia,N,,27,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,10/14/2009,Wed,WCQ,First round,Home,L 0–1,pl Poland,sk Slovakia,N,,23,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,6/8/2012,Fri,UEFA Euro,Group stage,Home,D 1–1,pl Poland,gr Greece,Y,,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,6/12/2012,Tue,UEFA Euro,Group stage,Home,D 1–1,pl Poland,ru Russia,Y,,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,6/16/2012,Sat,UEFA Euro,Group stage,Away,L 0–1,pl Poland,cz Czechia,Y,,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,9/7/2012,Fri,WCQ,First round,Away,D 2–2,pl Poland,me Montenegro,Y,,89,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,9/11/2012,Tue,WCQ,First round,Home,W 2–0,pl Poland,md Moldova,Y,,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,10/17/2012,Wed,WCQ,First round,Home,D 1–1,pl Poland,eng England,Y,,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,3/22/2013,Fri,WCQ,First round,Home,L 1–3,pl Poland,ua Ukraine,Y,,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,3/26/2013,Tue,WCQ,First round,Home,W 5–0,pl Poland,sm San Marino,Y,,90,2,1,2,2,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,6/7/2013,Fri,WCQ,First round,Away,D 1–1,pl Poland,md Moldova,Y,,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,9/6/2013,Fri,WCQ,First round,Home,D 1–1,pl Poland,me Montenegro,Y,,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,10/11/2013,Fri,WCQ,First round,Away,L 0–1,pl Poland,ua Ukraine,Y,,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,10/15/2013,Tue,WCQ,First round,Away,L 0–2,pl Poland,eng England,Y,,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,9/7/2014,Sun,UEFA Euro Qualifying,Group stage,Away,W 7–0,pl Poland,gi Gibraltar,Y*,FW,90,4,1,0,0,8,5,0,0,,,0,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,10/11/2014,Sat,UEFA Euro Qualifying,Group stage,Home,W 2–0,pl Poland,de Germany,Y*,FW,90,0,1,0,0,0,0,1,0,,,2,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,10/14/2014,Tue,UEFA Euro Qualifying,Group stage,Home,D 2–2,pl Poland,sct Scotland,Y*,FW,90,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,11/14/2014,Fri,UEFA Euro Qualifying,Group stage,Away,W 4–0,pl Poland,ge Georgia,Y*,FW,90,0,1,0,0,3,1,0,0,,,1,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,11/18/2014,Tue,Friendlies (M),Friendlies (M),Home,D 2–2,pl Poland,ch Switzerland,Y*,FW,62,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,3/29/2015,Sun,UEFA Euro Qualifying,Group stage,Away,D 1–1,pl Poland,ie Rep. of Ireland,Y*,FW,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,6/13/2015,Sat,UEFA Euro Qualifying,Group stage,Home,W 4–0,pl Poland,ge Georgia,Y*,FW,90,3,0,0,0,8,6,0,0,,,1,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,9/4/2015,Fri,UEFA Euro Qualifying,Group stage,Away,L 1–3,pl Poland,de Germany,Y*,FW,90,1,0,0,0,6,3,0,0,,,0,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,9/7/2015,Mon,UEFA Euro Qualifying,Group stage,Home,W 8–1,pl Poland,gi Gibraltar,Y*,FW,65,2,1,0,0,4,4,0,0,,,1,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,10/8/2015,Thu,UEFA Euro Qualifying,Group stage,Away,D 2–2,pl Poland,sct Scotland,Y*,FW,90,2,0,0,0,4,2,0,0,,,1,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,10/11/2015,Sun,UEFA Euro Qualifying,Group stage,Home,W 2–1,pl Poland,ie Rep. of Ireland,Y*,FW,90,1,0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,11/13/2015,Fri,Friendlies (M),Friendlies (M),Home,W 4–2,pl Poland,is Iceland,Y,,89,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
21-Aug-88,185,Robert Lewandowski,3/23/2016,Wed,Friendlies (M),Friendlies (M),Home,W 1–0,pl Poland,rs Serbia,Y*,FW,72,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
