DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
28-Jul-93,188,Harry Kane,3/27/2015,Fri,UEFA Euro Qualifying,Group stage,Home,W 4–0,eng England,lt Lithuania,N,,19,1,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
28-Jul-93,188,Harry Kane,3/31/2015,Tue,Friendlies (M),Friendlies (M),Away,D 1–1,eng England,it Italy,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
28-Jul-93,188,Harry Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul-93,188,Harry Kane,9/5/2015,Sat,UEFA Euro Qualifying,Group stage,Away,W 6–0,eng England,sm San Marino,N,,32,1,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
28-Jul-93,188,Harry Kane,9/8/2015,Tue,UEFA Euro Qualifying,Group stage,Home,W 2–0,eng England,ch Switzerland,N,,34,1,0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
28-Jul-93,188,Harry Kane,10/9/2015,Fri,UEFA Euro Qualifying,Group stage,Home,W 2–0,eng England,ee Estonia,Y,FW,90,0,0,0,0,1,1,0,0,,,1,,,,,,,,,,,,,,,Match Report
28-Jul-93,188,Harry Kane,10/12/2015,Mon,UEFA Euro Qualifying,Group stage,Away,W 3–0,eng England,lt Lithuania,Y,FW,58,0,1,0,0,8,6,0,0,,,0,,,,,,,,,,,,,,,Match Report
28-Jul-93,188,Harry Kane,11/13/2015,Fri,Friendlies (M),Friendlies (M),Away,L 0–2,eng England,es Spain,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
28-Jul-93,188,Harry Kane,11/17/2015,Tue,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,fr France,Y,FW,79,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
28-Jul-93,188,Harry Kane,3/26/2016,Sat,Friendlies (M),Friendlies (M),Away,W 3–2,eng England,de Germany,Y,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
28-Jul-93,188,Harry Kane,3/29/2016,Tue,Friendlies (M),Friendlies (M),Home,L 1–2,eng England,nl Netherlands,N,,21,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
28-Jul-93,188,Harry Kane,5/22/2016,Sun,Friendlies (M),Friendlies (M),Home,W 2–1,eng England,tr Türkiye,Y,FW,90,1,0,0,1,,,0,0,,,,,,,,,,,,,,,,,,Match Report
28-Jul-93,188,Harry Kane,6/2/2016,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,eng England,pt Portugal,Y,FW,77,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
28-Jul-93,188,Harry Kane,6/11/2016,Sat,UEFA Euro,Group stage,Neutral,D 1–1,eng England,ru Russia,Y,FW,90,0,0,0,0,3,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
