,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendimiento,,,,,,,,,,,,Expectativa,,,ACT,,Pases,,,,Transportes,,Tomas,,,,,,,,,,,,,
Fecha,Día,Comp,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posc,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Toques,Tkl,Int,Bloqueos,xG,npxG,xAG,ACT,ACG,Cmp,Int.,% Cmp,PrgP,Transportes,PrgC,Att,Succ,Informe del partido
10/16/2018,Mar,Liga de las Naciones de la UEFA,Liga A,Local,V 2–1,fr Francia,de Alemania,Sí,AM,85,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
11/16/2018,Vie,Liga de las Naciones de la UEFA,Liga A,Visitante,D 0–2,fr Francia,nl Países Bajos,Sí,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
11/20/2018,Mar,Partido amistoso (M),Partido amistoso (M),Local,V 1–0,fr Francia,uy Uruguay,Sí,AM,35,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
3/22/2019,Vie,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,V 4–1,fr Francia,md Moldavia,Sí,RM,90,1,0,0,0,3,3,1,0,,,0,,,,,,,,,,,,,,,Informe del partido
3/25/2019,Lun,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 4–0,fr Francia,is Islandia,Sí,AM,90,1,2,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
6/2/2019,Dom,Partido amistoso (M),Partido amistoso (M),Local,V 2–0,fr Francia,bo Bolivia,Sí,FW,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
6/8/2019,Sáb,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,D 0–2,fr Francia,tr Turquía,Sí,FW,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
6/11/2019,Mar,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,V 4–0,fr Francia,ad Andorra,Sí,AM,90,1,1,0,0,4,2,0,0,,,2,,,,,,,,,,,,,,,Informe del partido
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2019,Jue,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 2–1,fr Francia,md Moldavia,Sí,AM,90,0,0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
9/5/2020,Sáb,Liga de las Naciones de la UEFA,Liga A,Visitante,V 1–0,fr Francia,se Suecia,Sí,FW,76,1,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2020,Mié,Partido amistoso (M),Partido amistoso (M),Local,V 7–1,fr Francia,ua Ucrania,No,,45,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
10/11/2020,Dom,Liga de las Naciones de la UEFA,Liga A,Local,E 0–0,fr Francia,pt Portugal,Sí,FW,83,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
10/14/2020,Mié,Liga de las Naciones de la UEFA,Liga A,Visitante,V 2–1,fr Francia,hr Croacia,Sí,FW,90,1,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2020,Mar,Liga de las Naciones de la UEFA,Liga A,Local,V 4–2,fr Francia,se Suecia,No,,34,0,1,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
3/24/2021,Mié,WCQ,Primera ronda,Local,E 1–1,fr Francia,ua Ucrania,Sí,LW,76,0,0,0,0,4,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
3/28/2021,Dom,WCQ,Primera ronda,Visitante,V 2–0,fr Francia,kz Kazajstán,No,,32,0,0,0,1,3,3,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
3/31/2021,Mié,WCQ,Primera ronda,Visitante,V 1–0,fr Francia,ba Bosnia & Herz'na,Sí,FW,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido
6/2/2021,Mié,Partido amistoso (M),Partido amistoso (M),Local,V 3–0,fr Francia,wls Gales,Sí,FW,72,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
6/8/2021,Mar,Partido amistoso (M),Partido amistoso (M),Local,V 3–0,fr Francia,bg Bulgaria,Sí,FW,83,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido
6/15/2021,Mar,UEFA Euro,Etapa de grupo,Neutral,V 1–0,fr Francia,de Alemania,Sí,"LW,FW",90,0,0,0,0,1,1,0,0,31,0,1,0,0,0,0.1,1,0,17,22,77.3,2,27,5,4,2,Informe del partido
,,,,,,,,,,,Rendimiento,,,,,,,,,,,,Expectativa,,,ACT,,Pases,,,,Transportes,,Tomas,,
Fecha,Día,Comp,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posc,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Toques,Tkl,Int,Bloqueos,xG,npxG,xAG,ACT,ACG,Cmp,Int.,% Cmp,PrgP,Transportes,PrgC,Att,Succ,Informe del partido
6/19/2021,Sáb,UEFA Euro,Etapa de grupo,Neutral,E 1–1,fr Francia,hu Hungría,Sí,"LW,RW",90,0,0,0,0,6,1,0,0,39,0,0,1,1,1,0.3,5,0,20,25,80,2,28,5,7,5,Informe del partido
6/23/2021,Mié,UEFA Euro,Etapa de grupo,Neutral,E 2–2,fr Francia,pt Portugal,Sí,"LW,AM",90,0,0,0,0,1,1,0,0,38,0,0,1,0.3,0.3,0,3,2,17,25,68,0,23,4,5,1,Informe del partido
6/28/2021,Lun,UEFA Euro,Ronda de 16,Neutral,E 3 (4)–3 (5),fr Francia,ch Suiza,Sí,FW,120,0,1,0,0,6,0,0,0,54,0,0,0,0.7,0.7,1.3,7,1,30,36,83.3,8,28,5,6,2,Informe del partido
